#IDX KIND POS_X POS_Y POS_Z EUL_PSI EUL_THETA EUL_PHI
124 turn -13.5 -3.5 -7.5 3.14159265359 -0.0 1.57079632679
125 turntwist -13.5 -2.5 -7.5 -1.57079632679 -0.0 0.0
126 turn -12.5 -2.5 -7.5 -1.57079632679 -0.0 -1.57079632679
127 turn -12.5 -3.5 -7.5 1.57079632679 -0.0 0.0
128 turn -11.5 -3.5 -7.5 1.57079632679 -0.0 1.57079632679
129 turn -11.5 -2.5 -7.5 -1.57079632679 -0.0 0.0
130 turn -10.5 -2.5 -7.5 -1.57079632679 -0.0 -1.57079632679
131 turntwist -10.5 -3.5 -7.5 1.57079632679 -1.57079632679 0
132 turn -10.5 -3.5 -6.5 0.0 -0.0 1.57079632679
133 turntwist -10.5 -2.5 -6.5 1.57079632679 -0.0 3.14159265359
134 turn -11.5 -2.5 -6.5 1.57079632679 -0.0 -1.57079632679
135 turntwist -11.5 -3.5 -6.5 1.57079632679 -1.57079632679 0
136 turntwist -11.5 -3.5 -5.5 0.0 -0.0 0.0
137 turn -10.5 -3.5 -5.5 -3.14159265359 -1.57079632679 0
138 turn -10.5 -3.5 -4.5 0.0 -0.0 3.14159265359
139 turntwist -11.5 -3.5 -4.5 -1.57079632679 -0.0 1.57079632679
140 turn -11.5 -2.5 -4.5 -1.57079632679 -0.0 0.0
141 turntwist -10.5 -2.5 -4.5 0.0 1.57079632679 0
142 turn -10.5 -2.5 -5.5 3.14159265359 -0.0 3.14159265359
143 turntwist -11.5 -2.5 -5.5 -1.57079632679 -0.0 1.57079632679
144 turn -11.5 -1.5 -5.5 -1.57079632679 -0.0 0.0
145 turntwist -10.5 -1.5 -5.5 -3.14159265359 -1.57079632679 0
146 turn -10.5 -1.5 -4.5 0.0 -0.0 3.14159265359
147 turntwist -11.5 -1.5 -4.5 -1.57079632679 -0.0 1.57079632679
148 turn -11.5 -0.5 -4.5 -1.57079632679 -0.0 0.0
149 turntwist -10.5 -0.5 -4.5 0.0 1.57079632679 0
150 turn -10.5 -0.5 -5.5 3.14159265359 -0.0 3.14159265359
151 turn -11.5 -0.5 -5.5 3.14159265359 1.57079632679 0
152 straight -11.5 -0.5 -6.5 3.14159265359 -0.0 -1.57079632679
153 turntwist -11.5 -0.5 -7.5 3.14159265359 -0.0 -1.57079632679
154 turn -11.5 -1.5 -7.5 1.57079632679 -1.57079632679 0
155 turntwist -11.5 -1.5 -6.5 0.0 -0.0 0.0
156 turn -10.5 -1.5 -6.5 0.0 1.57079632679 0
157 turntwist -10.5 -1.5 -7.5 3.14159265359 -0.0 1.57079632679
158 turn -10.5 -0.5 -7.5 -1.57079632679 -1.57079632679 0
159 turntwist -10.5 -0.5 -6.5 0.0 -0.0 0.0
160 turn -9.5 -0.5 -6.5 0.0 1.57079632679 0
161 turntwist -9.5 -0.5 -7.5 3.14159265359 -0.0 -1.57079632679
162 turn -9.5 -1.5 -7.5 1.57079632679 -1.57079632679 0
163 turntwist -9.5 -1.5 -6.5 0.0 -0.0 0.0
164 turn -8.5 -1.5 -6.5 0.0 1.57079632679 0
165 turntwist -8.5 -1.5 -7.5 3.14159265359 -0.0 1.57079632679
166 turn -8.5 -0.5 -7.5 -1.57079632679 -1.57079632679 0
167 straight -8.5 -0.5 -6.5 0.0 -0.0 0.0
168 turntwist -8.5 -0.5 -5.5 0.0 -0.0 3.14159265359
169 turn -9.5 -0.5 -5.5 0.0 -1.57079632679 0
170 turn -9.5 -0.5 -4.5 0.0 -0.0 0.0
171 turntwist -8.5 -0.5 -4.5 -1.57079632679 -0.0 -1.57079632679
172 turn -8.5 -1.5 -4.5 -1.57079632679 -0.0 3.14159265359
173 turntwist -9.5 -1.5 -4.5 3.14159265359 1.57079632679 0
174 turn -9.5 -1.5 -5.5 3.14159265359 -0.0 0.0
175 turntwist -8.5 -1.5 -5.5 -1.57079632679 -0.0 -1.57079632679
176 turn -8.5 -2.5 -5.5 -1.57079632679 -0.0 3.14159265359
177 turntwist -9.5 -2.5 -5.5 0.0 -1.57079632679 0
178 turn -9.5 -2.5 -4.5 0.0 -0.0 0.0
179 turntwist -8.5 -2.5 -4.5 -1.57079632679 -0.0 -1.57079632679
180 turn -8.5 -3.5 -4.5 -1.57079632679 -0.0 3.14159265359
181 turntwist -9.5 -3.5 -4.5 3.14159265359 1.57079632679 0
182 turn -9.5 -3.5 -5.5 3.14159265359 -0.0 0.0
183 turn -8.5 -3.5 -5.5 0.0 1.57079632679 0
184 turntwist -8.5 -3.5 -6.5 3.14159265359 -0.0 1.57079632679
185 turntwist -8.5 -2.5 -6.5 1.57079632679 -0.0 3.14159265359
186 turn -9.5 -2.5 -6.5 1.57079632679 -0.0 -1.57079632679
187 turntwist -9.5 -3.5 -6.5 1.57079632679 1.57079632679 0
188 turn -9.5 -3.5 -7.5 3.14159265359 -0.0 1.57079632679
189 turntwist -9.5 -2.5 -7.5 -1.57079632679 -0.0 0.0
190 turn -8.5 -2.5 -7.5 -1.57079632679 -0.0 -1.57079632679
191 straight -8.5 -3.5 -7.5 1.57079632679 1.57079632679 0
192 turn -8.5 -4.5 -7.5 -1.57079632679 -0.0 3.14159265359
193 turntwist -9.5 -4.5 -7.5 0.0 -1.57079632679 0
194 turn -9.5 -4.5 -6.5 0.0 -0.0 0.0
195 turntwist -8.5 -4.5 -6.5 -1.57079632679 -0.0 -1.57079632679
196 turn -8.5 -5.5 -6.5 -1.57079632679 -0.0 3.14159265359
197 turntwist -9.5 -5.5 -6.5 3.14159265359 1.57079632679 0
198 turn -9.5 -5.5 -7.5 3.14159265359 -0.0 0.0
199 turntwist -8.5 -5.5 -7.5 -1.57079632679 -0.0 -1.57079632679
200 turntwist -8.5 -6.5 -7.5 1.57079632679 -1.57079632679 0
201 turn -8.5 -6.5 -6.5 0.0 -0.0 -1.57079632679
202 turn -8.5 -7.5 -6.5 1.57079632679 1.57079632679 0
203 turntwist -8.5 -7.5 -7.5 3.14159265359 -0.0 3.14159265359
204 turn -9.5 -7.5 -7.5 0.0 -1.57079632679 0
205 turntwist -9.5 -7.5 -6.5 0.0 -0.0 1.57079632679
206 turn -9.5 -6.5 -6.5 -1.57079632679 1.57079632679 0
207 turntwist -9.5 -6.5 -7.5 3.14159265359 -0.0 3.14159265359
208 turn -10.5 -6.5 -7.5 0.0 -1.57079632679 0
209 turntwist -10.5 -6.5 -6.5 0.0 -0.0 -1.57079632679
210 turn -10.5 -7.5 -6.5 1.57079632679 1.57079632679 0
211 turntwist -10.5 -7.5 -7.5 3.14159265359 -0.0 3.14159265359
212 turn -11.5 -7.5 -7.5 0.0 -1.57079632679 0
213 turntwist -11.5 -7.5 -6.5 0.0 -0.0 1.57079632679
214 turn -11.5 -6.5 -6.5 -1.57079632679 1.57079632679 0
215 turn -11.5 -6.5 -7.5 3.14159265359 -0.0 1.57079632679
216 straight -11.5 -5.5 -7.5 -1.57079632679 -0.0 0.0
217 turntwist -11.5 -4.5 -7.5 -1.57079632679 -0.0 0.0
218 turn -10.5 -4.5 -7.5 -1.57079632679 -0.0 -1.57079632679
219 turntwist -10.5 -5.5 -7.5 1.57079632679 -1.57079632679 0
220 turn -10.5 -5.5 -6.5 0.0 -0.0 1.57079632679
221 turntwist -10.5 -4.5 -6.5 1.57079632679 -0.0 3.14159265359
222 turn -11.5 -4.5 -6.5 1.57079632679 -0.0 -1.57079632679
223 turntwist -11.5 -5.5 -6.5 1.57079632679 -1.57079632679 0
224 turn -11.5 -5.5 -5.5 0.0 -0.0 1.57079632679
225 turntwist -11.5 -4.5 -5.5 -1.57079632679 -0.0 0.0
226 turn -10.5 -4.5 -5.5 -1.57079632679 -0.0 -1.57079632679
227 turntwist -10.5 -5.5 -5.5 1.57079632679 -1.57079632679 0
228 turn -10.5 -5.5 -4.5 0.0 -0.0 1.57079632679
229 turntwist -10.5 -4.5 -4.5 1.57079632679 -0.0 3.14159265359
230 turn -11.5 -4.5 -4.5 1.57079632679 -0.0 -1.57079632679
231 straight -11.5 -5.5 -4.5 1.57079632679 -1.57079632679 0
232 turntwist -11.5 -6.5 -4.5 1.57079632679 1.57079632679 0
233 turn -11.5 -6.5 -5.5 3.14159265359 -0.0 -1.57079632679
234 turn -11.5 -7.5 -5.5 1.57079632679 -1.57079632679 0
235 turntwist -11.5 -7.5 -4.5 0.0 -0.0 0.0
236 turn -10.5 -7.5 -4.5 0.0 1.57079632679 0
237 turntwist -10.5 -7.5 -5.5 3.14159265359 -0.0 1.57079632679
238 turn -10.5 -6.5 -5.5 -1.57079632679 -1.57079632679 0
239 turntwist -10.5 -6.5 -4.5 0.0 -0.0 0.0
240 turn -9.5 -6.5 -4.5 0.0 1.57079632679 0
241 turntwist -9.5 -6.5 -5.5 3.14159265359 -0.0 -1.57079632679
242 turn -9.5 -7.5 -5.5 1.57079632679 -1.57079632679 0
243 turntwist -9.5 -7.5 -4.5 0.0 -0.0 0.0
244 turn -8.5 -7.5 -4.5 0.0 1.57079632679 0
245 turntwist -8.5 -7.5 -5.5 3.14159265359 -0.0 1.57079632679
246 turn -8.5 -6.5 -5.5 -1.57079632679 -1.57079632679 0
247 turn -8.5 -6.5 -4.5 0.0 -0.0 1.57079632679
248 turntwist -8.5 -5.5 -4.5 1.57079632679 -0.0 3.14159265359
249 turntwist -9.5 -5.5 -4.5 3.14159265359 1.57079632679 0
250 turn -9.5 -5.5 -5.5 3.14159265359 -0.0 0.0
251 turntwist -8.5 -5.5 -5.5 1.57079632679 -0.0 1.57079632679
252 turn -8.5 -4.5 -5.5 1.57079632679 -0.0 3.14159265359
253 turntwist -9.5 -4.5 -5.5 0.0 -1.57079632679 0
254 turn -9.5 -4.5 -4.5 0.0 -0.0 0.0
255 turn -8.5 -4.5 -4.5 -3.14159265359 -1.57079632679 0
256 turn -8.5 -4.5 -3.5 0.0 -0.0 3.14159265359
257 turn -9.5 -4.5 -3.5 0.0 -1.57079632679 0
258 turn -9.5 -4.5 -2.5 0.0 -0.0 0.0
259 turntwist -8.5 -4.5 -2.5 -1.57079632679 -0.0 -1.57079632679
260 turn -8.5 -5.5 -2.5 -1.57079632679 -0.0 3.14159265359
261 turntwist -9.5 -5.5 -2.5 3.14159265359 1.57079632679 0
262 turn -9.5 -5.5 -3.5 3.14159265359 -0.0 0.0
263 turntwist -8.5 -5.5 -3.5 -1.57079632679 -0.0 -1.57079632679
264 turntwist -8.5 -6.5 -3.5 1.57079632679 -1.57079632679 0
265 turn -8.5 -6.5 -2.5 0.0 -0.0 -1.57079632679
266 turn -8.5 -7.5 -2.5 1.57079632679 1.57079632679 0
267 turntwist -8.5 -7.5 -3.5 3.14159265359 -0.0 3.14159265359
268 turn -9.5 -7.5 -3.5 0.0 -1.57079632679 0
269 turntwist -9.5 -7.5 -2.5 0.0 -0.0 1.57079632679
270 turn -9.5 -6.5 -2.5 -1.57079632679 1.57079632679 0
271 turntwist -9.5 -6.5 -3.5 3.14159265359 -0.0 3.14159265359
272 turn -10.5 -6.5 -3.5 0.0 -1.57079632679 0
273 turntwist -10.5 -6.5 -2.5 0.0 -0.0 -1.57079632679
274 turn -10.5 -7.5 -2.5 1.57079632679 1.57079632679 0
275 turntwist -10.5 -7.5 -3.5 3.14159265359 -0.0 3.14159265359
276 turn -11.5 -7.5 -3.5 0.0 -1.57079632679 0
277 turntwist -11.5 -7.5 -2.5 0.0 -0.0 1.57079632679
278 turn -11.5 -6.5 -2.5 -1.57079632679 1.57079632679 0
279 turn -11.5 -6.5 -3.5 3.14159265359 -0.0 1.57079632679
280 straight -11.5 -5.5 -3.5 -1.57079632679 -0.0 0.0
281 turntwist -11.5 -4.5 -3.5 -1.57079632679 -0.0 0.0
282 turn -10.5 -4.5 -3.5 -1.57079632679 -0.0 -1.57079632679
283 turntwist -10.5 -5.5 -3.5 1.57079632679 -1.57079632679 0
